Product,Fund,Cohort,Pay Term,Last Month AS,Exchange Rate CM,Exchange Rate LM,Exchange Rate,Premium,Implicit Expense,Surrender,Claims,Policy Fee,Maturity,Risk Charge,Investment Income,SH Allowance,AS MIX,AS NGCF MIX,Exchange Rate from Inv to P&L,End AS for PL,Exchange Rate from P&L to BS,END AS for BS
WA Gen 1,UL001000,201607_1,All,7522576.78508126,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,-282.26664000,0.00000000,0.00000000,,,,,,,,
WA Gen 1,UL001000,201608_1,All,61300892.19763260,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,-1003.61472000,0.00000000,0.00000000,,,,,,,,
WA Gen 1,UL001000,201609_0,All,-164247.83365496,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 1,UL001000,201609_1,All,38280849.32382960,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,-595.89624000,0.00000000,0.00000000,,,,,,,,
WA Gen 1,UL001000,201610_1,All,21439763.22616550,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,-439.08144000,0.00000000,0.00000000,,,,,,,,
WA Gen 1,UL001000,201611_0,All,4066514.01205469,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,-62.72592000,0.00000000,0.00000000,,,,,,,,
WA Gen 1,UL001000,201611_1,All,65481547.83799710,7.84074000,7.82225000,,0.00000000,0.00000000,-19621.60866480,0.00000000,-940.88880000,0.00000000,0.00000000,,,,,,,,
WA Gen 1,UL001000,201612_0,All,8658704.33337326,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,-62.72592000,0.00000000,0.00000000,,,,,,,,
WA Gen 1,UL001000,201612_1,All,19132494.00070370,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,-470.44440000,0.00000000,0.00000000,,,,,,,,
WA Gen 1,UL001000,201612_2,All,490520.99510926,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,-31.36296000,0.00000000,0.00000000,,,,,,,,
WA Gen 1,UL001000,201701_0,All,12138115.28092300,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,-94.08888000,0.00000000,0.00000000,,,,,,,,
WA Gen 1,UL001000,201701_1,All,6743259.78182554,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,-125.45184000,0.00000000,0.00000000,,,,,,,,
WA Gen 1,UL001000,201701_2,All,516205.70356241,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,-31.36296000,0.00000000,0.00000000,,,,,,,,
WA Gen 1,UL001000,201702_0,All,0.00000000,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 1,UL001000,201702_1,All,0.00000000,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 1,UL001000,201702_2,All,1866137.06649595,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,-125.45184000,0.00000000,0.00000000,,,,,,,,
WA Gen 1,UL001000,201703_1,All,3108227.06128058,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,-94.08888000,0.00000000,0.00000000,,,,,,,,
WA Gen 1,UL001000,201703_2,All,6842971.41707897,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,-250.90368000,0.00000000,0.00000000,,,,,,,,
WA Gen 1,UL001000,201704_2,All,7428198.08492409,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,-250.90368000,0.00000000,0.00000000,,,,,,,,
WA Gen 1,UL001000,201705_2,All,2652843.68064651,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,-62.72592000,0.00000000,0.00000000,,,,,,,,
WA Gen 1,UL001000,201706_2,All,16958176.04149810,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,-188.17776000,0.00000000,0.00000000,,,,,,,,
WA Gen 1,UL001000,201707_2,All,18208483.75578350,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,-62.72592000,0.00000000,0.00000000,,,,,,,,
WA Gen 1,UL001000,201708_2,All,10049382.87576080,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,-156.81480000,0.00000000,0.00000000,,,,,,,,
WA Gen 1,UL001000,201709_2,All,0.00000000,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 1,UL001000,201710_2,All,0.00000000,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 1,UL001000,201711_2,All,0.00000000,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 1,UL001000,201712_2,All,0.00000000,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 2,UL001000,201709_1,All,4590308.01938929,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 2,UL001000,201710_1,All,28738355.39966780,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 2,UL001000,201711_1,All,9137130.13048670,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
WA Gen 2,UL001000,201712_1,All,13070775.28435710,7.84074000,7.82225000,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,
